daily_bets,avg_bet_amount,sessions_per_day,time_spent_minutes,lost_money_days,won_money_days,self_exclusion_attempts,account_age_days,risk_level
2,63.62997028950925,3,75.76446315811971,22,10,1,703,3
6,42.71295037627787,1,126.29385982497101,7,29,1,319,1
9,66.00428148831958,5,83.45844511408696,22,13,0,908,4
3,40.814089326874395,2,162.51451260145723,12,6,0,288,1
7,40.592517131586426,4,76.38648104062763,0,10,0,625,0
5,67.29033383059422,2,78.89505536030366,14,19,0,550,2
6,51.41833996418893,7,82.59944313084284,27,1,0,557,4
4,26.728721487821847,2,117.72434075856397,4,25,1,664,0
3,67.52034169060285,8,112.88073085987669,4,23,0,98,0
3,44.4691932890086,1,108.44043612012581,12,17,0,686,1
8,50.150544109701684,4,77.4966421158485,16,11,0,461,3
3,54.31694133401845,6,81.26515443812299,22,20,0,346,3
3,64.74389850396228,9,101.45840640144851,29,3,2,934,4
7,72.78282449324598,7,101.36876374238425,17,27,0,778,3
1,26.397507680180325,1,50.06976178573656,25,27,0,891,3
3,46.376756827054635,2,157.39306697587756,17,15,0,698,2
10,39.00828399865947,6,56.25561438798666,8,11,0,382,2
4,68.50943962478209,4,103.55846852653201,6,27,2,452,0
3,75.26758344500709,3,135.30541411556192,13,20,1,698,1
6,2.140582706574193,9,82.1322697098331,2,27,0,127,0
4,97.55210597205804,9,46.96614170873696,3,6,0,358,0
2,54.60960676534238,3,103.57540023896445,26,19,0,584,3
5,49.181618329618395,8,108.7276271427188,18,22,1,204,2
2,40.671028148864806,6,136.8499180639605,3,1,0,129,0
4,25.819420236695322,2,110.75012411358367,18,16,0,778,2
7,30.034472776348164,1,87.38020239828471,19,10,0,941,3
6,59.6715337727996,6,131.8992543376891,8,0,0,285,1
6,105.80908149772564,1,62.90885789477202,11,28,0,523,1
5,61.64775478261841,1,84.24080705890627,14,22,0,893,2
5,78.61604316205597,9,97.84201500075274,19,21,1,414,3
3,32.38392785857441,6,124.1540909783906,4,18,1,958,0
2,59.226015945208744,5,67.72404184390992,22,18,0,950,3
7,40.31653249095943,8,114.07328499964831,29,16,1,424,4
2,42.38706172821642,1,55.236479967216965,20,23,0,244,2
4,61.35607919451984,7,77.30094574150013,18,22,0,324,2
3,53.21470657913219,3,87.7323149725725,22,3,0,831,3
7,39.001239662843346,4,67.69320885813572,9,14,0,475,1
4,54.459656869984094,3,102.45285609410062,5,3,1,139,0
4,78.73908165650826,4,80.45413314033138,26,25,1,615,4
4,57.483663297904116,5,92.64310781574613,1,6,0,933,0
1,64.7032910051735,5,80.21441123641434,10,5,0,764,1
10,44.59164434007634,5,103.66347419994246,24,24,0,617,4
4,50.55678972207351,6,67.60321141957192,10,18,1,463,1
6,28.156753545651153,3,59.89687738375174,6,23,1,604,1
4,43.56337718299734,9,96.23731359678955,21,1,0,879,3
5,61.10372423036328,6,102.78259169711616,19,17,0,903,3
4,30.712778264466156,7,118.64477542060614,18,23,0,804,2
4,48.34291529076311,3,123.19517911241775,10,13,0,371,1
5,54.27644098689107,2,115.52849356835054,21,16,0,957,3
9,45.822704922943984,6,93.96155789078655,5,28,0,547,1
2,47.596259771911946,7,94.27615488069218,12,21,1,803,1
9,49.25621832901305,8,73.12323695880845,3,26,0,263,1
4,50.16827485234665,9,31.788980457310934,29,26,0,916,4
5,59.87796587463945,3,86.45904657202806,15,29,1,488,2
5,69.23833390142565,7,40.79000319543019,16,28,0,391,2
2,-4.555602657533598,2,105.80899394837459,12,8,2,428,1
4,7.43502870281921,6,79.14519458751194,14,29,0,982,2
4,43.45381646815093,2,38.17481039236449,6,12,0,229,0
7,45.62598392691682,9,106.43845277873888,27,4,1,711,4
4,42.51179407276163,1,135.65244462905954,18,27,0,399,2
4,37.703691503820195,5,95.3414490052295,27,27,1,538,4
5,74.76595723366819,5,94.17033457665622,27,25,1,959,4
3,51.3345427118902,5,76.09298297749946,4,0,0,591,0
6,70.56771003731163,9,73.17079274624814,23,0,0,580,4
6,8.990557066513361,5,105.35694630412709,5,10,1,679,1
8,69.15209418478557,5,116.80285244294097,13,10,0,630,2
7,36.857493414894115,4,80.79099622388395,22,24,0,505,4
3,60.6152787811432,1,149.39071609441345,17,14,0,602,2
6,62.20792312686433,5,110.34401066766826,10,19,0,443,1
11,34.77651261463278,5,65.81727274545244,7,24,0,284,2
6,2.427699412746982,7,91.9656759895113,26,29,0,625,4
3,69.10787224393636,3,120.2553372778668,26,26,2,586,4
4,20.24250768620492,6,134.42945099683556,6,13,0,212,0
4,60.8742773934968,8,67.94536437421193,10,9,0,761,1
5,66.59484341861196,6,83.57549615381801,18,11,0,546,2
0,77.71187756470471,1,112.69678796543003,3,12,0,783,0
8,42.14451808555348,7,131.32502552233336,11,13,1,836,2
10,72.5948441651833,8,95.87254779997751,8,0,0,273,2
7,42.67592081782912,3,140.96215687254232,7,29,1,201,1
4,54.49066737247372,3,79.32969932658055,13,21,0,277,1
7,34.347984115384904,2,152.4759595189965,11,4,1,855,2
3,50.28152374572011,7,94.2382930291426,2,16,1,508,0
9,46.75613593777222,5,37.87527015523166,11,9,1,552,2
5,72.94436130117094,2,143.97136141925765,8,23,0,457,1
2,45.09738171458813,5,54.62533545784685,7,16,0,770,0
3,28.675762380722276,2,99.47398975101407,26,4,0,253,4
5,41.53461873027,5,40.2876983306004,27,8,0,152,4
4,66.73495679446711,8,102.88848511421462,10,20,0,515,1
5,57.94916825621905,8,82.6096976923909,7,8,0,726,1
3,47.483865589792956,3,112.14418042690437,17,1,0,747,2
8,24.73557174195935,6,81.27727563324368,0,27,0,921,0
4,75.71582586363542,4,109.9516394582542,4,11,1,915,0
1,36.55108848035926,1,63.02103318562424,2,9,1,937,0
5,82.84076529795573,4,108.89974106208021,20,12,0,76,3
8,3.078575411568849,8,86.3737200255699,11,3,1,939,2
5,33.27898265199322,1,90.05177708995355,3,4,0,494,0
4,46.526953700973415,3,88.81112589512941,8,9,0,728,1
4,51.658702260152985,2,84.6895438754108,4,4,0,517,0
4,80.14141213865783,3,121.17574176325166,3,27,0,287,0
8,22.96917362008012,5,54.10420886746025,8,17,0,511,1
5,48.09887189397218,8,122.61716386136723,25,9,0,482,4
3,34.95198739103709,1,113.59580389625644,11,3,0,925,1
4,55.86584015660418,3,105.21881490055449,21,22,1,263,3
4,52.66962828709021,7,95.93557701424172,7,21,0,954,1
11,54.452547685816285,5,68.77670540765416,0,29,0,227,1
6,53.80373603604744,8,134.59683275066075,8,3,1,252,1
3,58.18969020367311,2,77.89255409544924,16,13,1,702,2
5,33.36725755905299,9,111.4592291303089,28,9,1,330,4
0,77.31189893763361,5,85.32673235037188,7,6,0,865,0
3,47.09427539576963,3,72.24946197692556,29,25,0,919,4
6,43.45881375878412,8,75.08821717929632,3,1,1,894,0
8,52.47176414362711,2,95.75335782993723,19,5,1,702,3
4,21.274477526970625,7,111.11378527667566,13,26,1,509,1
6,21.91585190152216,2,99.42915470997424,5,13,0,113,1
9,52.757321679150024,2,93.05594516170301,6,1,0,804,1
6,40.79062631704792,1,116.92857259769619,13,9,0,362,2
10,48.36571424892584,2,124.29988106022918,8,4,0,656,2
6,-2.1877760126283192,1,71.764904457892,5,17,0,133,1
3,60.92217302441376,6,62.67708174079303,17,17,1,415,2
8,34.28324173477175,2,101.6391354166931,4,7,0,522,1
2,26.735169516691293,8,98.8373102737908,28,8,2,840,4
5,72.97918080809242,5,66.5565499886458,2,9,0,988,0
6,39.52000999345662,7,108.62673229367064,6,20,1,867,1
3,49.456425451111016,2,105.66208128445663,21,1,0,309,3
3,26.98362989850399,4,74.05586349998443,28,8,0,372,4
9,13.606478955235076,6,103.00415244521199,26,12,0,578,4
5,37.07400060159744,9,98.5866157974898,27,26,0,188,4
8,84.79969394763155,2,68.39425922212561,24,24,0,654,4
5,66.66109354574436,8,149.9218128615754,3,8,0,474,0
2,61.34745929303246,6,101.3448966125192,0,16,0,634,0
5,55.478558855950716,1,72.24254174837432,1,17,1,503,0
4,69.05443355404894,7,76.61752748908481,0,28,1,992,0
3,56.147285086529806,5,116.89335435156511,13,9,0,692,1
5,60.984434274988885,7,142.39397157430966,21,24,1,559,3
6,78.26922826273763,8,103.54682028632088,4,18,1,102,0
8,41.08990261255154,1,116.10502690763852,12,11,1,831,2
9,30.27026602664004,3,161.7382812513284,0,10,0,367,0
10,22.848702963747,2,90.41223259665149,7,3,0,383,1
1,81.22070511645529,4,57.24230437282641,12,2,0,344,1
4,51.49323305216195,5,97.06205499365954,23,18,0,549,3
7,52.19050582819209,4,89.32536850595567,24,22,0,674,4
6,52.19285090054201,5,76.83271455938701,5,5,0,498,1
6,34.68498744665043,1,112.21945534498884,29,17,0,190,4
3,29.729552820071596,8,64.99492670066131,12,8,0,43,1
6,50.75891494519222,9,146.8018851328958,13,23,1,353,2
8,42.58914051675583,1,66.68774086863951,0,22,0,550,0
3,68.09842384215791,7,100.48047455490723,7,18,1,443,0
1,61.97990792385122,9,105.39304678435988,7,7,0,204,0
8,33.73230458667334,3,113.54209048757892,17,0,1,887,3
8,76.61946455227034,6,110.89724389426505,24,19,1,439,4
4,51.33998256170547,1,126.42324550144073,19,16,1,981,2
7,7.658589097947399,5,17.452869761753007,3,23,0,685,0
3,50.92743885686651,3,84.97677714390714,4,3,0,992,0
3,39.18849785708636,1,108.04385034711385,21,19,1,600,3
8,31.40339119372703,5,50.952889440879915,23,14,1,227,4
6,42.4864700842874,7,78.65779226762645,22,12,1,88,3
0,75.67153206165435,6,105.93258505760217,26,2,2,692,3
6,38.02821789610715,8,46.97384004407979,2,28,0,881,0
4,53.035885301556604,2,61.3603191057712,7,11,0,420,1
3,24.828430824971484,6,68.68474706939553,11,12,0,215,1
2,63.09026929152725,1,102.08943160075012,22,19,1,310,3
7,41.834188158620776,8,104.80859655536234,7,2,1,565,1
6,13.687344958654862,2,87.19936367685764,21,0,0,429,3
6,57.43649861671512,3,101.15297026595374,5,9,0,889,1
4,41.87535698114465,5,135.33454212346314,22,12,0,509,3
8,61.51138818564491,8,132.82336867202633,6,2,0,712,1
8,54.40915715415667,1,82.70033471397615,12,16,0,428,2
7,63.79585118624204,6,65.66825922283002,11,19,1,684,2
4,77.69260186586229,8,94.02771770131663,8,24,0,167,1
4,74.01517081277717,8,124.2121992730646,23,18,0,253,3
7,36.30778293362599,2,144.36608909974888,23,9,0,401,4
8,97.3704144056494,7,132.0739724293503,20,18,1,323,3
5,54.96199371694608,6,77.12922910021751,16,18,0,285,2
3,56.97382561958204,2,91.7450807395288,4,15,1,105,0
8,77.20521400797587,3,60.951654711598465,27,8,0,638,4
1,36.60139443852442,8,64.07020814511458,23,27,0,200,3
1,57.376314211527195,5,144.76184106510235,24,7,0,887,3
6,8.594451993372026,9,97.19113949355449,12,4,2,81,2
3,33.72394078022791,5,90.31065719183816,20,14,2,587,2
3,64.0331860381773,2,94.94722195867665,6,29,1,754,0
6,53.69619689361259,6,56.570455728119306,17,27,1,936,2
5,37.49942148212095,7,19.390180391409345,10,27,1,989,1
2,64.57618086624984,9,104.58946761841044,15,2,0,999,1
0,41.89060802949045,4,77.45295228503736,8,2,0,327,0
6,45.43433706341813,6,101.11988319832498,22,4,0,239,3
7,51.21996604960076,7,98.11556588415709,24,6,0,312,4
8,61.23991452597872,1,102.50438491459845,16,5,0,807,3
3,8.797432204622105,6,34.7458175568101,3,29,0,446,0
3,68.5657870545435,7,133.38362167007517,20,19,1,265,2
5,48.09045557312196,6,60.20176375625747,26,4,1,337,4
8,65.67454230715738,9,84.6961953013788,12,11,1,455,2
4,27.067426251569096,7,97.1967226182233,28,24,2,666,4
2,48.156411565689034,4,97.7069214017568,20,1,0,483,2
5,35.67755317898801,5,65.0497644083725,22,29,0,697,3
3,55.62447272349145,1,84.79826705318483,15,26,1,143,2
3,72.93432242042479,7,73.44957867250346,21,14,0,366,3
7,52.0785497100365,6,44.53739024567759,3,13,0,313,0
3,57.483705874032765,5,108.68338174031067,3,23,1,439,0
4,63.250688243120585,6,56.549165584935324,7,1,1,907,1
3,43.70005934252641,9,99.26887385946283,1,29,0,488,0
4,55.32446630635064,9,66.32420016182812,0,26,1,218,0
9,49.228523455310075,3,92.56235846024157,10,5,1,322,2
1,83.48683685256023,4,105.82930958292224,19,14,0,222,2
1,60.93667392767376,6,80.23114752560876,27,26,0,261,3
2,62.77271642593623,7,75.62838454878283,23,16,0,958,3
8,36.567110347014925,4,119.63654580136011,23,18,0,953,4
3,53.402315250055935,8,77.5121681768006,7,27,1,303,0
2,90.49341125847758,4,146.19307083669577,19,3,0,265,2
4,54.64396984750841,9,57.21442236386931,12,23,0,656,1
7,64.12257209296057,3,100.03812535483975,8,5,0,55,1
7,78.6934483960621,7,94.20781300351214,12,21,0,470,2
7,48.17612229930713,3,63.11950054957893,17,10,2,883,3
3,39.11425389295384,2,53.64244355318084,0,24,1,480,0
5,40.22083045295833,1,67.21801450206269,2,23,0,564,0
11,57.59093443893737,8,91.39452765819387,4,26,0,613,1
4,19.254102841276822,4,62.04716147250922,0,10,0,663,0
4,83.83841329317454,6,56.27616645737229,14,15,1,629,2
4,78.28768578618107,4,108.1531176759228,17,6,0,934,2
8,54.980294342333664,2,104.41532183573236,17,5,0,199,3
7,44.965092199407344,2,117.50284340783956,29,12,2,48,4
4,35.263047135306856,3,157.2246548501758,9,4,1,817,1
5,66.01164845217906,4,55.05545731209933,4,2,1,435,0
7,56.67348838678814,5,-15.171215312260713,3,27,0,893,0
2,33.78428473368116,8,160.24746836671264,2,22,0,881,0
2,50.8123576218701,7,55.842570147615454,25,13,2,63,3
9,70.7254163824382,4,40.50450264565701,14,26,1,858,2
4,48.733870182387996,6,79.57350604701709,7,7,2,967,1
10,25.5707438105786,2,63.52788202415149,17,26,0,350,3
5,31.83080543042562,2,93.17890357038495,17,14,1,119,2
5,56.680218581803956,1,72.15708035682562,12,25,1,52,1
4,60.71752227259245,5,134.60212842113685,7,8,0,130,1
1,48.72072594491637,7,104.73370920333046,6,27,0,708,0
3,40.15089740068727,8,101.14493308254399,16,9,0,994,2
8,19.824305794996704,4,125.06344562677799,16,19,1,879,3
1,39.857357642501896,1,87.2246282638912,10,22,1,794,1
4,36.42713710186343,4,119.8705071115511,1,21,0,612,0
6,51.67107810411161,2,116.52024878566274,2,13,0,600,0
7,23.31010205286858,4,148.0000506899076,9,16,0,337,1
5,30.87289505324027,8,73.79908679557354,13,4,1,141,2
5,86.829284843791,8,41.33192025694972,1,28,0,964,0
4,57.66927037797187,1,113.3790244448476,13,10,2,251,1
3,41.195826414293926,8,58.74659345190484,22,22,0,984,3
8,63.25627598013392,4,60.60393275295081,8,9,0,862,1
9,56.7530179451316,5,122.35430229435552,8,9,1,989,1
8,53.15714073099337,9,99.53213574025106,2,22,0,955,0
6,38.5837250308748,8,168.20177157464437,8,5,0,572,1
7,60.92666695993633,8,79.82049275605307,18,11,0,398,3
3,50.67355006838343,2,55.62989460069127,11,15,1,158,1
7,68.91970672012026,9,72.97686536101146,21,15,1,760,3
7,38.716159550469754,2,54.23280797340541,18,7,0,825,3
2,54.0657533406734,5,113.35947246179632,15,14,1,536,1
5,34.39026872767661,7,52.91534101202382,20,2,2,664,3
4,47.90337086788872,6,66.07875309362497,13,15,0,93,1
4,43.50233125466542,5,118.52261790633452,22,23,0,248,3
5,71.50138878925887,9,131.57338043996623,27,18,1,173,4
4,52.00807076815835,4,92.31212245645008,0,26,0,906,0
4,46.08041091813828,4,113.96056704359654,10,4,1,988,1
3,47.554200678605426,8,125.60449486129458,17,6,0,735,2
4,85.5676812591004,7,109.2560988629034,10,23,1,836,1
5,56.835432653239394,5,94.64555636745061,8,8,0,65,1
3,47.83094427904117,3,49.06876050463278,7,2,0,358,0
5,66.20010828204067,8,158.65562336638192,25,25,0,546,4
6,54.0215939810626,3,75.00462071348844,11,1,0,573,1
4,59.88495062234431,3,97.39551909594077,28,15,1,402,4
4,49.390826305310284,7,62.00306577030945,25,26,1,309,4
4,73.59454048844258,5,100.12204954344679,25,27,1,218,4
3,31.0102298342103,7,19.317139056264267,15,25,0,187,2
3,46.63698441669953,9,81.87434127501031,20,14,1,678,2
5,51.30780595669703,8,155.14811361902179,13,5,1,252,2
3,19.50287280100428,8,123.35136405521085,8,26,0,47,1
10,66.21986371192367,5,97.07321879249766,5,24,1,598,1
1,42.82786442911627,2,61.535861460805236,6,19,0,336,0
3,39.41605917966462,4,116.9223999754737,26,8,1,551,4
4,80.90351088098662,7,111.87788343338225,24,14,0,252,3
5,28.819175327117147,4,100.33172976038813,11,9,0,504,1
3,18.543029379493937,8,94.97339694481364,25,13,0,275,3
3,34.77829114825987,2,48.62875865542613,24,20,0,913,3
3,67.44719971262685,9,125.25733297639528,12,29,0,198,1
2,18.66469321835694,4,117.56568454415336,22,21,1,65,3
1,60.07136593293088,1,71.41599493064595,4,10,0,865,0
4,40.5374880454238,9,146.8956501700389,8,2,0,508,1
6,71.25082720859106,4,93.63923096870471,9,20,0,294,1
5,64.1883477798657,4,86.78071895966194,27,20,0,635,4
3,60.19318766301929,5,77.00311716884003,18,27,0,82,2
9,10.814680391161616,1,149.20691092160678,15,18,1,923,3
4,59.256988172749324,7,125.94464366679625,25,5,2,133,4
3,83.76468913354583,7,71.1810380903695,0,18,0,713,0
3,55.633176724811605,3,61.669999113708606,24,19,1,670,3
3,35.42961790359534,9,138.49073023010845,14,22,0,675,1
1,84.06976451115005,5,139.6490626569115,17,12,0,972,2
5,43.479362547156526,5,51.180749239169785,28,13,0,154,4
7,30.69743005269367,2,89.88723083131889,24,10,0,984,4
6,45.452853883059575,5,59.965919025117074,23,9,0,527,4
6,55.97716987549092,7,49.07899608290146,20,6,1,717,3
7,68.02428872253074,7,84.4371758586689,21,22,1,79,3
1,65.46464147057438,6,132.95356140547557,4,2,1,443,0
5,41.7170231899011,2,21.13956255292679,22,0,0,614,3
6,48.32755845699298,6,94.08813687029672,14,10,0,804,2
3,34.290135470095144,2,91.31796489525323,26,24,0,360,4
7,28.59992851572228,5,157.83399638583637,26,28,0,478,4
4,62.85104415575391,4,134.64005718101654,5,0,0,692,0
5,73.07985728712235,3,92.01587064892249,19,9,2,327,3
6,32.291350560237746,1,92.12235753000849,17,13,2,301,2
1,31.45209689516078,6,104.42100604686806,8,20,1,454,0
3,78.60303934871189,8,63.63151889982689,2,21,0,103,0
5,27.743555266426092,9,77.93570723294646,26,25,1,536,4
5,64.69980856171286,2,101.13620568379021,20,18,0,976,3
7,59.77660439723645,2,44.057479275941084,17,7,0,606,3
2,24.459879956147326,3,84.75642883308383,2,17,0,313,0
7,50.06913481600593,7,19.655242099212828,21,7,0,955,3
7,28.01347723264452,5,102.88419657979237,0,22,0,777,0
0,80.61228577396327,6,119.13566701575593,27,27,2,339,3
6,63.04245718881929,6,100.34370670283973,11,14,0,622,1
9,58.17108989815326,7,107.92219453670069,15,2,0,83,3
4,14.988944105451964,2,80.51005419735263,14,11,1,409,2
3,18.139765454253226,8,60.027946144512114,16,11,1,346,2
4,94.8452163678792,3,96.66482573537832,27,13,2,509,4
2,60.218971718005974,4,94.59998507355091,24,19,1,838,3
4,65.18795498272745,9,97.48066879305782,5,7,1,784,0
4,50.64205456720593,9,88.34359950150171,6,1,0,897,0
4,71.41556650047464,5,112.97858818640225,7,22,0,442,1
2,26.152013356168077,1,119.3448250701046,7,27,0,895,0
5,73.33887166629799,5,78.58509134269603,2,5,0,567,0
3,41.15872782668474,1,81.41184661744528,4,4,0,284,0
6,52.76808647878046,9,103.82900222141525,0,14,1,647,0
7,54.95772072794845,4,88.1487930631445,12,27,0,566,2
4,64.52219257109056,6,52.087920548770335,20,18,1,988,3
6,63.914972768264406,9,87.92974739486247,3,20,1,515,0
3,68.51740030856875,8,105.06163019637158,10,28,1,832,1
3,40.895667977080386,2,138.63714545798337,26,2,0,191,4
4,63.26429858969063,1,59.18966230848052,8,28,0,223,1
6,39.11471534016266,9,101.87712199220718,28,22,0,410,4
7,67.38811106970023,8,131.67216416616867,26,19,0,765,4
5,61.49325258485065,1,115.44432301224882,19,29,0,750,3
6,86.01305320258368,2,64.66013836031027,15,27,1,855,2
3,21.38488850101771,6,158.77188530276402,20,7,0,761,2
5,31.944775363591,4,128.46400223575637,14,7,0,601,2
1,69.28690620113464,7,42.70203916356454,0,15,0,557,0
5,51.197633365614145,3,124.11738515735927,15,13,2,391,2
5,77.86124854628264,7,37.47943439560651,27,24,0,312,4
7,0.42583863939083244,2,71.7197075549213,6,17,0,364,1
3,74.09260532948807,9,105.51751200352183,21,16,0,828,3
6,57.53161270045799,6,133.4298099508253,1,28,0,680,0
2,42.593704990995505,6,67.32577821951425,22,23,1,554,3
4,71.29884867056177,8,68.66029791345903,2,20,0,239,0
12,77.87484786191091,9,39.072394927864266,12,27,1,554,3
5,19.409844914918853,3,48.25482008601784,5,10,0,113,0
6,31.198137704324992,7,118.19102552462417,18,20,0,86,3
7,29.65216192398724,3,107.41879392512914,11,11,0,723,2
11,64.31008289975053,6,70.55160538644779,12,20,1,133,2
7,59.443824447188646,7,75.21114106347314,18,0,0,486,3
4,44.424075938357646,7,105.94024770267927,27,17,0,982,4
8,45.97701508096644,5,110.88878865534237,14,14,0,149,2
3,56.68564262712858,4,139.00234875616263,16,9,0,665,2
10,43.48243185094068,8,114.06892040885147,5,11,0,872,1
3,19.263305953310834,1,122.382593123541,29,26,0,920,4
6,77.89859242241445,9,95.81714330924886,17,28,0,286,2
7,40.45970565556619,4,129.09844097119228,26,23,0,612,4
4,62.92654221589171,7,88.85314756994572,8,20,0,226,1
7,28.83572574035188,7,100.46550526868313,29,6,1,331,4
3,51.682893452058245,8,92.99501714521534,5,8,0,968,0
10,16.543069204763484,1,70.99928709773178,10,18,0,789,2
2,29.285260229039434,7,79.67678765622156,16,10,0,416,2
4,35.43632341660703,9,63.86078500480769,7,16,0,87,1
4,58.59917190831254,1,113.9581994855406,23,29,0,269,3
6,64.23512771872362,9,62.09962138715301,2,27,1,657,0
2,65.00503484145557,4,83.29735125298089,9,2,0,820,1
3,64.74786987986275,8,59.511973192797626,5,16,1,894,0
8,-9.180953323221502,3,109.50837903900135,19,22,0,908,3
5,34.85231348203679,1,104.81035777624209,4,22,0,240,0
4,50.69393136834197,6,98.74253825182292,12,29,0,529,1
5,38.63002159897299,7,69.11472012264667,18,23,0,88,2
3,45.14568841351859,9,91.24553298396165,8,2,1,258,1
3,68.08685960330874,3,144.53211736959798,1,8,0,701,0
9,37.70762196657194,1,128.505330520295,26,10,0,988,4
5,65.8102381061594,3,131.24428315891532,20,25,0,458,3
2,61.819564863215206,3,133.79197853681924,21,17,0,61,2
6,30.15133746375698,8,76.79123017732493,29,21,0,892,4
8,40.94581720321357,5,112.52399257525742,12,2,0,840,2
1,77.21532189695215,7,112.2149342492008,9,17,0,88,0
4,39.69434662215232,9,95.48949038102111,9,2,2,266,1
6,60.64300702707289,3,93.60582384620828,17,0,0,682,2
4,53.31375529789383,1,126.66271215430626,29,14,0,515,4
7,62.51374781735612,7,55.42703903626126,12,8,0,675,2
8,50.74081733976998,1,75.34003108102631,28,25,0,228,4
3,46.63578986621289,6,74.61434238861506,25,0,0,779,3
3,21.53976101084744,8,44.327718720401975,22,26,1,500,3
4,54.34161675265299,6,42.26279579060514,0,24,0,698,0
3,25.18946278710793,3,83.43941805149758,26,24,1,787,4
6,47.878288634016684,8,54.54238547748163,19,17,1,390,3
6,31.049297401450772,6,110.91050939126092,2,4,0,543,0
1,53.5917814330119,9,142.06539027895218,2,15,0,814,0
7,36.886598206776156,4,96.47024932490856,8,3,0,395,1
7,35.84630751279797,8,49.82966962573576,14,16,0,974,2
3,47.284890748847474,4,115.49860671988768,21,5,0,540,3
8,70.0293991544774,5,99.94488754226981,16,18,1,845,3
6,42.558509360646056,1,132.76155523985477,19,26,0,171,3
4,72.70914644130647,6,81.51210452478816,19,22,0,408,2
5,72.89619647684148,6,97.03246876221598,24,24,0,197,4
12,62.36211482789386,5,66.85521338076724,23,14,0,632,4
9,64.73474627480275,3,93.10609360165236,1,16,1,854,0
9,48.091047726889414,7,102.2655939239263,17,18,1,481,3
3,53.34731255833488,6,57.568575252354414,21,1,0,67,3
8,41.85974044402926,4,87.98731412382149,17,23,0,876,3
5,65.49914356934949,9,88.52047319610945,22,5,1,609,3
7,53.442855675584106,2,37.815252769425356,3,18,1,703,0
2,68.70037030394533,7,102.66117928437261,16,12,0,763,2
6,82.29966570780277,1,109.60354392390362,18,16,1,612,3
